raw_code,old_harmonised_name,correct_harmonised_name,was_wrong
ALZHD,hx_dementia,hx_alzheimers_dementia,Y
CEBVD,hx_stroke,hx_cerebrovascular_disease_stroke,Y
CHF,hx_heart_failure,hx_congestive_heart_failure,Y
CKD,hx_ckd,hx_chronic_kidney_disease,Y
EDHIV,hx_hiv,hx_hiv_aids,Y
ETOHAB,hx_alcohol_abuse,hx_alcohol_misuse,Y
HPE,hx_hepatic_disease,hx_pulmonary_embolism,Y
OSA,hx_sleep_apnea,hx_obstructive_sleep_apnea,Y
ASTHMA,hx_asthma,hx_asthma,N
CAD,hx_coronary_artery_disease,hx_coronary_artery_disease,N
CANCER,hx_cancer,hx_cancer,N
COPD,hx_copd,hx_copd,N
DEPRN,hx_depression,hx_depression,N
DIABTYP1,hx_diabetes_type1,hx_diabetes_type1,N
DIABTYP2,hx_diabetes_type2,hx_diabetes_type2,N
HTN,hx_hypertension,hx_hypertension,N
HYPLIPID,hx_hyperlipidemia,hx_hyperlipidemia,N
OBESITY,hx_obesity,hx_obesity,N
OSTPRSIS,hx_osteoporosis,hx_osteoporosis,N
SUBSTAB,hx_substance_abuse,hx_substance_abuse,N
