target,model,base_rate,pr_auc_or_average_precision,roc_auc,balanced_accuracy,sensitivity,specificity,tn,fp,fn,tp,delta_pr_vs_immedr,cv_pr_mean,cv_roc_mean,verdict
is_admitted_nhamcs,majority_class,0.1632,0.1631,0.5,0.5,0.0,1.0,1709,0,333,0,-0.1398,,,
is_admitted_nhamcs,immedr_only,0.1632,0.3029,0.7272,0.6487,0.4174,0.88,1504,205,194,139,0.0,,,
is_admitted_nhamcs,vitals_severity_proxy_exploratory,0.1632,0.1898,0.5427,0.5397,0.2222,0.8572,1465,244,259,74,-0.1131,,,
is_admitted_nhamcs,lightgbm_primary_no_immedr,0.1632,0.4995,0.8132,0.7313,0.7387,0.7238,1237,472,87,246,0.1966,0.4897,0.8141,DIVERGES
is_admitted_nhamcs,lightgbm_plus_immedr_companion,0.1632,0.5196,0.8354,0.769,0.7628,0.7753,1325,384,79,254,0.2167,0.5252,0.8409,
is_long_stay_nhamcs,majority_class,0.4156,0.4155,0.5,0.5,0.0,1.0,1162,0,826,0,-0.0878,,,
is_long_stay_nhamcs,immedr_only,0.4156,0.5033,0.6424,0.5437,0.201,0.8864,1030,132,660,166,0.0,,,
is_long_stay_nhamcs,vitals_severity_proxy_exploratory,0.4156,0.4266,0.508,0.5139,0.1646,0.8632,1003,159,690,136,-0.0767,,,
is_long_stay_nhamcs,lightgbm_primary_no_immedr,0.4156,0.6076,0.7061,0.6494,0.6525,0.6463,751,411,287,539,0.1043,0.6164,0.7003,DIVERGES
is_long_stay_nhamcs,lightgbm_plus_immedr_companion,0.4156,0.6156,0.7187,0.658,0.6852,0.6308,733,429,260,566,0.1123,0.6341,0.7204,
